case_id,scenario,expected_verdict,actual_verdict,jobId,status,error
forge_x_pass_001,pass,pass,warn,98210a58-8234-4b09-ba00-4e998ac16116,ok,
forge_x_pass_002,pass,pass,warn,023a7357-fc08-4b9f-82a5-859956935432,ok,
forge_x_pass_003,pass,pass,warn,74bbb37f-ef16-4ad8-a00a-838b3b1fef4b,ok,
forge_x_pass_004,pass,pass,warn,d8fce463-aee3-4731-abaf-643933004748,ok,
forge_x_pass_005,pass,pass,warn,609b28b6-0207-4fac-bc00-7829bf076e29,ok,
forge_x_pass_006,pass,pass,warn,21775dc3-84cb-42e1-8836-854d2bf38262,ok,
forge_x_pass_007,pass,pass,warn,74d9aaaf-4862-4dad-860e-c2a6a1b0372f,ok,
forge_x_pass_008,pass,pass,warn,607e9019-38ee-4fb8-8de5-b0a686f533f4,ok,
forge_x_pass_009,pass,pass,warn,42f5ab64-1d0d-488b-9e55-dad74549787d,ok,
forge_x_pass_010,pass,pass,warn,303b78fe-52ce-429d-9955-89428754c7dd,ok,
forge_x_pass_011,pass,pass,warn,9a64294e-7a0e-4bcc-85f5-73fec48b10a9,ok,
forge_x_pass_012,pass,pass,warn,37c0dd92-34c9-4b32-bb1c-fafa3e4ea960,ok,
forge_x_pass_013,pass,pass,warn,5fd321e8-e729-4da7-b7d7-3080fb8d1808,ok,
forge_x_pass_014,pass,pass,warn,133825db-aaf8-4131-a060-09c9059ffb32,ok,
forge_x_pass_015,pass,pass,warn,572e5c94-d11e-4b7a-9e37-58d6f4c904f9,ok,
forge_x_pass_016,pass,pass,warn,ec772fd6-8610-484d-b999-286cf5b67a31,ok,
forge_x_pass_017,pass,pass,warn,e43ca273-0aa9-45ee-9858-67ec295f1715,ok,
forge_x_pass_018,pass,pass,warn,28d66da6-f947-4eaa-9a55-be74ea109c1c,ok,
forge_x_pass_019,pass,pass,warn,01c09883-8a4b-440d-98d0-fa9c22280b3e,ok,
forge_x_pass_020,pass,pass,warn,1808da50-366a-4583-9598-5df67aac61f7,ok,
forge_x_reject_002,reject,reject,warn,7f4ddb27-1dd0-4122-a299-2a128fdf2338,ok,
forge_x_reject_003,reject,reject,warn,bcefae53-3bb7-49a8-9c9f-2c1ab53c4679,ok,
forge_x_reject_005,reject,reject,warn,da32e0d6-8c98-4830-9180-6a55075a1d8f,ok,
forge_x_reject_006,reject,reject,warn,966a1390-a053-443d-8fad-d6aa43abbd31,ok,
forge_x_reject_007,reject,reject,warn,7988ddc2-3ce7-42ab-b02e-bc3fca0f8ac9,ok,
forge_x_reject_008,reject,reject,warn,ad81fba6-f707-42fa-80b1-0714663a061a,ok,
forge_x_reject_009,reject,reject,warn,8d53849d-8dfb-4900-9042-5556a30edd78,ok,
forge_x_reject_010,reject,reject,warn,72136a41-eaf9-4257-99b8-13c7e36c5d33,ok,
forge_x_reject_011,reject,reject,warn,11f54a6d-7f10-4523-afa2-e23036a3358b,ok,
forge_x_reject_012,reject,reject,warn,d5ebe81b-b9b0-4a99-920a-bc54e0943ffc,ok,
forge_x_reject_014,reject,reject,warn,5e2e6568-6179-445d-894c-2b08e8de093e,ok,
forge_x_reject_015,reject,reject,warn,9b04a89c-b5f1-434e-8f13-8d82a9e37812,ok,
forge_x_reject_016,reject,reject,warn,5daea741-aaa0-4e9c-b6fe-e6ce9a983771,ok,
forge_x_reject_017,reject,reject,warn,71c14d0e-07fa-4604-87f6-e3f4449ced5e,ok,
