case_id,scenario,expected_verdict,actual_verdict,jobId,status,error
forge_x_ocr_noise_013,ocr_noise,blocked,warn,551459eb-5622-4f3a-a37e-758458d4b4df,ok,
forge_x_ocr_noise_014,ocr_noise,blocked,reject,f8b62b69-ba93-4ae7-9d95-cc9887da3d28,ok,
forge_x_ocr_noise_015,ocr_noise,blocked,reject,f98c0acb-5825-4ccd-ac47-af51d74202e3,ok,
forge_x_sanctions_tbml_shell_002,sanctions_tbml_shell,reject,warn,365f2164-c0a9-45f3-8af8-1c6cb0c2648f,ok,
forge_x_sanctions_tbml_shell_004,sanctions_tbml_shell,reject,warn,2d32ebf7-0354-4b98-95a8-592cd18f01a1,ok,
forge_x_sanctions_tbml_shell_006,sanctions_tbml_shell,reject,warn,197ba464-df22-4d3e-b763-c545ed4742da,ok,
forge_x_sanctions_tbml_shell_007,sanctions_tbml_shell,reject,warn,b26fa5fa-d768-4842-9f66-b8526342a961,ok,
forge_x_sanctions_tbml_shell_009,sanctions_tbml_shell,reject,warn,3ef4d255-bcd6-412d-9cfb-38be6a3a7588,ok,
forge_x_sanctions_tbml_shell_011,sanctions_tbml_shell,reject,warn,4a1433d0-963d-403e-b9db-fb0890fa0a87,ok,
forge_x_sanctions_tbml_shell_012,sanctions_tbml_shell,reject,warn,2c1f096f-531d-408e-ad9a-29843e4913fb,ok,
forge_x_sanctions_tbml_shell_013,sanctions_tbml_shell,reject,warn,783b0dcc-b08b-48e6-8469-9becec0d47c4,ok,
forge_x_sanctions_tbml_shell_015,sanctions_tbml_shell,reject,warn,73100447-c93f-4e54-8aaa-967befa8812f,ok,
